product_code,service_nice_name,service_category
AmazonFSx,Amazon FSx,Storage
AmazonFinSpace,Amazon FinSpace,Analytics
AmazonForecast,Amazon Forecast,AI and Machine Learning
AmazonFraudDetector,Amazon Fraud Detector,AI and Machine Learning
AmazonGameLift,Amazon GameLift,Game Tech
AmazonGameLiftStreams,Amazon GameLift Streams,Game Tech
AmazonGlacier,Amazon Glacier,Storage
AmazonGrafana,Amazon Managed Grafana,Management and Governance
AmazonGuardDuty,Amazon GuardDuty,"Security, Identity and Compliance"
AmazonHealthLake,Amazon Health Lake,Healthcare and Life Sciences
AmazonHoneycode,Amazon Honeycode,Front-end Web and Mobile
AmazonIVS,Amazon Interactive Video Service,Media
AmazonIVSChat,Amazon Interactive Video Service Chat,Media
AmazonInspector,Amazon Inspector,"Security, Identity and Compliance"
AmazonInspectorV2,Amazon Inspector,"Security, Identity and Compliance"
AmazonKendra,Amazon Kendra,AI and Machine Learning
AmazonKinesis,Amazon Kinesis,Analytics
AmazonKinesisAnalytics,Amazon Kinesis Analytics,Analytics
AmazonKinesisFirehose,Amazon Kinesis Firehose,Analytics
AmazonKinesisVideo,Amazon Kinesis Video Streams,Media
AmazonLex,Amazon Lex,AI and Machine Learning
AmazonLightsail,Amazon Lightsail,Compute
AmazonLocationService,Amazon Location Service,Front-end Web and Mobile
AmazonLookoutEquipment,Amazon Lookout for Equipment,AI and Machine Learning
AmazonLookoutMetrics,Amazon Lookout for Metrics,AI and Machine Learning
AmazonLookoutVision,Amazon Lookout Vision,AI and Machine Learning
AmazonMCS,Amazon Keyspaces (for Apache Cassandra),Databases
AmazonML,Amazon ML,AI and Machine Learning
AmazonMQ,Amazon MQ,Integration
AmazonMSK,Amazon Managed Streaming for Apache Kafka,Analytics
AmazonMWAA,Amazon Managed Workflows for Apache Airflow,Integration
AmazonMacie,Amazon Macie,"Security, Identity and Compliance"
AmazonManagedBlockchain,Amazon Managed Blockchain,Blockchain
AmazonMedicalImaging,Amazon Medical Imaging,Healthcare and Life Sciences
AmazonMemoryDB,Amazon MemoryDB,Databases
AmazonMonitron,Amazon Monitron,AI and Machine Learning
AmazonNeptune,Amazon Neptune,Databases
AmazonOmics,Amazon Omics,AI and Machine Learning
AmazonPersonalize,Amazon Personalize,AI and Machine Learning
AmazonPinpoint,Amazon Pinpoint,Customer Engagement
AmazonPolly,Amazon Polly,AI and Machine Learning
AmazonPrometheus,Amazon Managed Service for Prometheus,Management and Governance
AmazonQ,Amazon Q,AI and Machine Learning
AmazonQLDB,Amazon Quantum Ledger Database,Databases
AmazonQuickSight,Amazon QuickSight,Analytics
AmazonRDS,Amazon Relational Database Service,Databases
AmazonRedshift,Amazon Redshift,Databases
AmazonRekognition,Amazon Rekognition,AI and Machine Learning
AmazonRoute53,Amazon Route 53,Networking and Content Delivery
AmazonS3,Amazon Simple Storage Service,Storage
AmazonS3GlacierDeepArchive,Amazon S3 Glacier Deep Archive,Storage
AmazonSES,Amazon Simple Email Service,Customer Engagement
AmazonSNS,Amazon Simple Notification Service,Integration
AmazonSWF,Amazon Simple Workflow Service,Integration
AmazonSageMaker,Amazon SageMaker,AI and Machine Learning
AmazonSecurityLake,Amazon Security Lake,"Security, Identity and Compliance"
AmazonSimpleDB,Amazon SimpleDB,Databases
AmazonStates,AWS Step Functions,Compute
AmazonSumerian,Amazon Sumerian,AR and VR
AmazonTextract,Amazon Textract,AI and Machine Learning
AmazonTimestream,Amazon Timestream,Databases
AmazonVPC,Amazon Virtual Private Cloud,Networking and Content Delivery
AmazonVerifiedPermissions,Amazon Verified Permissions,"Security, Identity and Compliance"
AmazonWAM,Amazon WorkSpaces Application Manager,End User Computing
AmazonWorkDocs,Amazon WorkDocs,Business Applications
AmazonWorkLink,Amazon WorkLink,Business Applications
AmazonWorkMail,Amazon WorkMail,Business Applications
AmazonWorkSpaces,Amazon WorkSpaces,End User Computing
AmazonWorkSpacesThinClient,Amazon WorkSpaces Thin Client,End User Computing
AmazonWorkSpacesWeb,Amazon WorkSpaces Web,End User Computing
AppFlow,Amazon AppFlow,Integration
AuroraDSQL,Amazon Aurora DSQL,Databases
CloudHSM,AWS CloudHSM,"Security, Identity and Compliance"
CodeBuild,AWS CodeBuild,Developer Tools
CodeCatalyst,Amazon CodeCatalyst,Developer Tools
CodeGuru,AWS CodeGuru,Developer Tools
ContactCenterTelecomm,Amazon Connect Telecomm,Business Applications
ContactCenterTelecommKR,Amazon Connect Telecomm KR,Business Applications
ContactCenterTelecommZA,Amazon Connect Telecomm ZR,Business Applications
ContactLensAmazonConnect,Amazon Connect Contact Lens,Customer Engagement
CustomerProfiles,Amazon Connect Customer Profiles,Customer Engagement
ElasticMapReduce,Amazon Elastic MapReduce,Analytics
IngestionService,Amazon OpenSearch Ingestion,Analytics
IngestionServiceSnowball,AWS Snowball Ingestion,Migration and Transfer
IoTDeviceDefender,AWS IoT Device Defender,Internet of Things
IoTDeviceManagement,AWS IoT Device Management,Internet of Things
IoTTwinMaker,AWS IoT TwinMaker,Internet of Things
OpsWorks,AWS OpsWorks,Management and Governance
OracleDbAtAWS,Oracle Database at AWS,Databases
PaymentCryptography,AWS Payment Cryptography,"Security, Identity and Compliance"
SSMSAP,AWS Systems Manager for SAP,Management and Governance
SimSpaceWeaver,AWS SimSpace Weaver,Compute
SnowballExtraDays,AWS Snowball Extra,Migration and Transfer
VMwareCloudOnAWS,VMware Cloud in AWS,Compute
auditmanager,AWS Audit Manager,"Security, Identity and Compliance"
awskms,AWS Key Management Service,"Security, Identity and Compliance"
awswaf,AWS WAF,"Security, Identity and Compliance"
comprehend,Amazon Comprehend,AI and Machine Learning
comprehendmedical,Amazon Comprehend Medical,AI and Machine Learning
datapipeline,AWS Data Pipeline,Developer Tools
mobileanalytics,AWS Mobile Analytics,Analytics
nimble,AWS Nimble Studio,Media
repostspace,AWS re:Post Private,Business Applications
transcribe,Amazon Transcribe,AI and Machine Learning
translate,Amazon Translate,AI and Machine Learning
